Code,Name,Tags,Type,PostingPriority,PreloadDxBoxes3to20
E812.7,OTH MOTR VEH COLL W/MV-PEDEST - E812.7,NULL,,0,NULL
E812.8,OTH MOTR VEH COLL W/MV-OTH PERS - E812.8,NULL,,0,NULL
E812.9,OTH MOTR VEH COLL W/MV-UNS PERS - E812.9,NULL,,0,NULL
E813.0,MOTR VEH COLL W/OTH VEH-DRIVER - E813.0,NULL,,0,NULL
E813.1,MOTR VEH COLL W/OTH VEH-PSNGR - E813.1,NULL,,0,NULL
E813.2,MOTR VEH COLL W/OTH VEH-MTRCYCLST - E813.2,NULL,,0,NULL
E813.3,MOTR VEH COLL W/OTH VEH-MC PSNGR - E813.3,NULL,,0,NULL
E813.4,MOTR VEH COLL W/OTH VEH-STREET CAR - E813.4,NULL,,0,NULL
E813.5,MOTR VEH COLL W/OTH VEH-ANIMAL RIDR - E813.5,NULL,,0,NULL
E813.6,MOTR VEH COLL W/OTH VEH-PED CYCLST - E813.6,NULL,,0,NULL
E813.7,MOTR VEH COLL W/OTH VEH-PEDSTRN - E813.7,NULL,,0,NULL
E813.8,MOTR VEH COLL W/OTH VEH-OTH PERS - E813.8,NULL,,0,NULL
E813.9,MOTR VEH COLL W/OTH VEH-UNS PERS - E813.9,NULL,,0,NULL
E814.0,MOTR VEH COLL W/PEDSTRN-DRIVER - E814.0,NULL,,0,NULL
E814.1,MOTR VEH COLL W/PEDSTRN-PASNGR - E814.1,NULL,,0,NULL
E814.2,MOTR VEH COLL W/PEDSTRN-MTRCYCLST - E814.2,NULL,,0,NULL
E814.3,MOTR VEH COLL W/PEDSTRN-MC PSNGR - E814.3,NULL,,0,NULL
E814.4,MOTR VEH COLL W/PEDSTRN-ST CAR - E814.4,NULL,,0,NULL
E814.5,MOTR VEH COLL W/PEDSTRN-ANIMAL RIDR - E814.5,NULL,,0,NULL
E814.6,MOTR VEH COLL W/PEDSTRN-PED CYCLST - E814.6,NULL,,0,NULL
E814.7,MOTR VEH COLL W/PEDSTRN-PEDSTRN - E814.7,NULL,,0,NULL
E814.8,MOTR VEH COLL W/PEDSTRN-OTH PERS - E814.8,NULL,,0,NULL
E814.9,MOTR VEH COLL W/PEDSTRN-UNS PERS - E814.9,NULL,,0,NULL
E815.0,OTH MOTR VEH COLL HIWAY-DRIVER - E815.0,NULL,,0,NULL
E815.1,OTH MOTR VEH COLL HIWAY-PSNGR - E815.1,NULL,,0,NULL
E815.2,OTH MOTR VEH COLL HIWAY-MTRCYCLST - E815.2,NULL,,0,NULL
E815.3,OTH MOTR VEH COLL HIWAY-MC PSNGR - E815.3,NULL,,0,NULL
E815.4,OTH MOTR VEH COLL HIWAY-ST CAR - E815.4,NULL,,0,NULL
E815.5,OTH MOTR VEH COLL HIWAY-ANIM RIDR - E815.5,NULL,,0,NULL
E815.6,OTH MOTR VEH COLL HIWAY-PED CYCL - E815.6,NULL,,0,NULL
E815.7,OTH MOTR VEH COLL HIWAY-PEDSTRN - E815.7,NULL,,0,NULL
E815.8,OTH MOTR VEH COLL HIWAY-OTH PERS - E815.8,NULL,,0,NULL
E815.9,OTH MOTR VEH COLL HIWAY-UNS PERS - E815.9,NULL,,0,NULL
E816.0,MOTR VEH LOSS CNTRL W/O COLL-DRIVER - E816.0,NULL,,0,NULL
E816.1,MOTR VEH LOSS CNTRL W/O COLL-PSNGR - E816.1,NULL,,0,NULL
E816.2,MOTR VEH LOSS CNTRL W/O COLL-MCYCL - E816.2,NULL,,0,NULL
E816.3,MOTR VEH LOSS CNTRL W/O COLL-MC PSG - E816.3,NULL,,0,NULL
E816.4,MOTR VEH LOSS CNTRL W/O COLL-ST CAR - E816.4,NULL,,0,NULL
E816.5,MOTR VEH LOSS CNTRL W/O COLL-ANM RD - E816.5,NULL,,0,NULL
E816.6,MOTR VEH LOSS CNTRL W/O COLL-PD CYC - E816.6,NULL,,0,NULL
E816.7,MOTR VEH LOSS CNTRL W/O COLL-PDSTRN - E816.7,NULL,,0,NULL
E816.8,MOTR VEH LOSS CNTRL W/O COLL-OTH PE - E816.8,NULL,,0,NULL
E816.9,MOTR VEH LOSS CNTRL W/O COLL-UNS PE - E816.9,NULL,,0,NULL
E817.0,NONCOLL MV ACC BOARD/ALIGHT-DRIVER - E817.0,NULL,,0,NULL
E817.1,NONCOLL MV ACC BOARD/ALIGHT-PSNGR - E817.1,NULL,,0,NULL
E817.2,NONCOLL MV ACC BOARD/ALIGHT-MTRCYCL - E817.2,NULL,,0,NULL
E817.3,NONCOLL MV BOARD/ALIGHT-MCYCL PSNGR - E817.3,NULL,,0,NULL
E817.4,NONCOLL MV ACC BOARD/ALIGHT-ST CAR - E817.4,NULL,,0,NULL
E817.5,NONCOLL MV BOARD/ALIGHT-ANIM RIDER - E817.5,NULL,,0,NULL
E817.6,NONCOLL MV BOARD/ALIGHT-PED CYCL - E817.6,NULL,,0,NULL
E817.7,NONCOLL MV BOARD/ALIGHT-PEDSTRN - E817.7,NULL,,0,NULL
E817.8,NONCOLL MV BOARD/ALIGHT-OTH PERS - E817.8,NULL,,0,NULL
E817.9,NONCOLL MV BOARD/ALIGHT-UNS PERS - E817.9,NULL,,0,NULL
E818.0,OTH NONCOLL MOTOR VEH ACC-DRIVER - E818.0,NULL,,0,NULL
E818.1,OTH NONCOLL MOTOR VEH ACC-PSNGR - E818.1,NULL,,0,NULL
E818.2,OTH NONCOLL MOTOR VEH ACC-MTRCYCL - E818.2,NULL,,0,NULL
E818.3,OTH NONCOLL MOTOR VEH ACC-MC PSNGR - E818.3,NULL,,0,NULL
E818.4,OTH NONCOLL MOTOR VEH ACC-ST CAR - E818.4,NULL,,0,NULL
E818.5,OTH NONCOLL MOTOR VEH ACC-ANIM RIDR - E818.5,NULL,,0,NULL
E818.6,OTH NONCOLL MOTOR VEH ACC-PED CYC - E818.6,NULL,,0,NULL
E818.7,OTH NONCOLL MOTOR VEH ACC-PEDSTRN - E818.7,NULL,,0,NULL
E818.8,OTH NONCOLL MOTOR VEH ACC-OTH PERS - E818.8,NULL,,0,NULL
E818.9,OTH NONCOLL MOTOR VEH ACC-UNS PERS - E818.9,NULL,,0,NULL
E819.0,MOTOR VEH ACC UNS NATURE-DRIVER - E819.0,NULL,,0,NULL
E819.1,MOTOR VEH ACC UNS NATURE-PSNGR - E819.1,NULL,,0,NULL
E819.2,MOTOR VEH ACC UNS NATURE-MTRCYCLST - E819.2,NULL,,0,NULL
E819.3,MOTOR VEH ACC UNS NATURE-MC PSNGR - E819.3,NULL,,0,NULL
E819.4,MOTOR VEH ACC UNS NATURE-ST CAR - E819.4,NULL,,0,NULL
E819.5,MOTOR VEH ACC UNS NATURE-ANIM RIDER - E819.5,NULL,,0,NULL
E819.6,MOTOR VEH ACC UNS NATURE-PED CYCL - E819.6,NULL,,0,NULL
E819.7,MOTOR VEH ACC UNS NATURE-PEDSTRN - E819.7,NULL,,0,NULL
E819.8,MOTOR VEH ACC UNS NATURE-OTH PERS - E819.8,NULL,,0,NULL
E819.9,MOTOR VEH ACC UNS NATURE-UNS PERS - E819.9,NULL,,0,NULL
E820.0,NONTRFF ACC MOTOR SNOW VEH-DRIVER - E820.0,NULL,,0,NULL
E820.1,NONTRFF ACC MOTOR SNOW VEH-PSNGR - E820.1,NULL,,0,NULL
E820.2,NONTRFF ACC MOTOR SNOW VEH-MTRCYCL - E820.2,NULL,,0,NULL
E820.3,NONTRFF ACC MOTOR SNOW VEH-MC PSNGR - E820.3,NULL,,0,NULL
E820.4,NONTRFF ACC MOTOR SNOW VEH-ST CAR - E820.4,NULL,,0,NULL
E820.5,NONTRFF ACC MOTOR SNOW VEH-ANM RIDR - E820.5,NULL,,0,NULL
E820.6,NONTRFF ACC MOTOR SNOW VEH-PED CYCL - E820.6,NULL,,0,NULL
E820.7,NONTRFF ACC MOTOR SNOW VEH-PEDSTRN - E820.7,NULL,,0,NULL
E820.8,NONTRFF ACC MOTOR SNOW VEH-OTH PERS - E820.8,NULL,,0,NULL
E820.9,NONTRFF ACC MOTOR SNOW VEH-UNS PERS - E820.9,NULL,,0,NULL
E861.3,ACC PSN OTH CLEANSING&POLISHING AGT - E861.3,NULL,,0,NULL
E861.4,ACCIDENTAL POISONING DISINFECTANTS - E861.4,NULL,,0,NULL
E861.5,ACCIDENTAL POISONING BY LEAD PAINTS - E861.5,NULL,,0,NULL
E861.6,ACC POISN OTH PAINTS&VARNISHES - E861.6,NULL,,0,NULL
E861.9,ACC POISON-CLEANSER UNS - E861.9,NULL,,0,NULL
E862.0,ACCIDENTAL POISN PETROL SOLVENTS - E862.0,NULL,,0,NULL
E862.1,ACCIDENTAL POISN PETROL FUELS&CLNRS - E862.1,NULL,,0,NULL
E862.2,ACCIDENTAL POISN LUBRICATING OILS - E862.2,NULL,,0,NULL
E862.3,ACCIDENTAL POISONING PETROL SOLIDS - E862.3,NULL,,0,NULL
E862.4,ACCIDENTAL POISN OTH SPEC SOLVENTS - E862.4,NULL,,0,NULL
E862.9,ACCIDENTAL POISONING UNSPEC SOLVENT - E862.9,NULL,,0,NULL
E863.0,ACC POISN CHLORINE INSECTICIDES - E863.0,NULL,,0,NULL
E863.1,ACC POISN PHOSPHORUS INSECTICIDE - E863.1,NULL,,0,NULL
E863.2,ACCIDENTAL POISONING BY CARBAMATES - E863.2,NULL,,0,NULL
E863.3,ACCIDENTAL POISN MIX INSECTICIDES - E863.3,NULL,,0,NULL
E863.4,ACC POISN OTH&UNSPEC INSECTICIDES - E863.4,NULL,,0,NULL
E863.5,ACCIDENTAL POISONING BY HERBICIDES - E863.5,NULL,,0,NULL
E863.6,ACCIDENTAL POISONING BY FUNGICIDES - E863.6,NULL,,0,NULL
E863.7,ACCIDENTAL POISONING RODENTICIDES - E863.7,NULL,,0,NULL
E863.8,ACCIDENTAL POISONING BY FUMIGANTS - E863.8,NULL,,0,NULL
E863.9,ACC POISN AGRICULTURAL OTH&UNS - E863.9,NULL,,0,NULL
E864.0,ACC POISN CORROSIVE AROMATICS NEC - E864.0,NULL,,0,NULL
E864.1,ACCIDENTAL POISONING BY ACIDS NEC - E864.1,NULL,,0,NULL
E864.2,ACC POISN CAUSTIC ALKALIS NEC - E864.2,NULL,,0,NULL
E864.3,ACC PSN OTH CORROSIVES&CAUSTICS NEC - E864.3,NULL,,0,NULL
E864.4,ACC PSN UNS CORROSIVES&CAUSTICS NEC - E864.4,NULL,,0,NULL
E865.0,ACCIDENTAL POISONING BY MEAT - E865.0,NULL,,0,NULL
E865.1,ACCIDENTAL POISONING BY SHELLFISH - E865.1,NULL,,0,NULL
E865.2,ACCIDENTAL POISONING FROM OTH FISH - E865.2,NULL,,0,NULL
E865.3,ACCIDENTAL POISN FROM BERRIES&SEEDS - E865.3,NULL,,0,NULL
E865.4,ACC POISN FROM OTH SPEC PLANTS - E865.4,NULL,,0,NULL
E865.5,ACC POISN FROM MUSHROOMS&OTH FUNGI - E865.5,NULL,,0,NULL
E865.8,ACC POISN FROM OTH SPEC FOODS - E865.8,NULL,,0,NULL
E865.9,ACC PSN UNS FOODSTUFF/PSNOUS PLANT - E865.9,NULL,,0,NULL
E866.0,ACC POISN LEAD&ITS COMPND&FUMES - E866.0,NULL,,0,NULL
E866.1,ACC POISN MERCURY&ITS COMPND&FUMES - E866.1,NULL,,0,NULL
E866.2,ACC POISN ANTIMONY&ITS COMPND&FUMES - E866.2,NULL,,0,NULL
E866.3,ACC POISN ARSENIC&ITS COMPND&FUMES - E866.3,NULL,,0,NULL
E866.4,ACC POISON-OTH METALS - E866.4,NULL,,0,NULL
E866.5,ACC POISN PLANT FOODS&FERTILIZERS - E866.5,NULL,,0,NULL
E866.6,ACCIDENTAL POISONING GLUES&ADHESS - E866.6,NULL,,0,NULL
E866.7,ACCIDENTAL POISONING BY COSMETICS - E866.7,NULL,,0,NULL
E866.8,ACC POISN OTH SPEC SOLID/LQD SBSTNC - E866.8,NULL,,0,NULL
E866.9,ACC POISN UNSPEC SOLID/LQD SBSTNC - E866.9,NULL,,0,NULL
E867,ACC POISN GAS DSTRBD PIPELINE - E867,NULL,,0,NULL
E868.0,ACC POISON-LIQUIFIED PETROL GAS - E868.0,NULL,,0,NULL
E868.1,ACC POISN OTH&UNSPEC UTILITY GAS - E868.1,NULL,,0,NULL
E868.2,ACC POISN MOTOR VEHICLE EXHAUST GAS - E868.2,NULL,,0,NULL
E868.3,ACC POISN-CO/DOMESTC FUEL - E868.3,NULL,,0,NULL
E868.8,ACC POISN CARB MONOXIDE OTH SRC - E868.8,NULL,,0,NULL
E868.9,ACC POISN UNSPEC CARB MONOXIDE - E868.9,NULL,,0,NULL
E869.0,ACCIDENTAL POISONING NITRO OXIDES - E869.0,NULL,,0,NULL
E869.1,ACCIDENTAL POISONING SULFUR DIOXIDE - E869.1,NULL,,0,NULL
E869.2,ACCIDENTAL POISONING BY FREON - E869.2,NULL,,0,NULL
E869.3,ACCIDENTAL POISN LACRIMOGENIC GAS - E869.3,NULL,,0,NULL
E869.4,ACC POISN 2-HAND TOBACCO SMOKE - E869.4,NULL,,0,NULL
E869.8,ACC POISN OTH SPEC GASES&VAPORS - E869.8,NULL,,0,NULL
E869.9,ACC POISN UNSPEC GASES&VAPORS - E869.9,NULL,,0,NULL
E870.0,ACC CUT PUNCT PERF/HEM DUR SURG OP - E870.0,NULL,,0,NULL
E870.1,ACC CUT/HEMORR DUR INFUSION - E870.1,NULL,,0,NULL
E870.2,ACC CUT/HEMORR-DIALYS OTH PERFUSN - E870.2,NULL,,0,NULL
E870.3,ACC CUT PUNCT PERF/HEM DUR INJ/VACC - E870.3,NULL,,0,NULL
E870.4,ACC CUT PUNCT PERF/HEM DUR ENDO EX - E870.4,NULL,,0,NULL
E870.5,ACC CUT/HEMORR DUR CATHETERIZ - E870.5,NULL,,0,NULL
E870.6,ACC CUT PUNCT PERF/HEM DUR HRT CATH - E870.6,NULL,,0,NULL
E870.7,ACC CUT/HEMORR DUR ENEMA - E870.7,NULL,,0,NULL
E870.8,ACC CUT/HEMORR DUR OTH MED CARE - E870.8,NULL,,0,NULL
E870.9,ACC CUT/HEMORR DUR UNS MED CARE - E870.9,NULL,,0,NULL
E871.0,FOREIGN OBJ LT BDY DUR SURG OP - E871.0,NULL,,0,NULL
E871.1,FOREIGN OBJ LT BDY DURING INFUSION - E871.1,NULL,,0,NULL
E871.2,FOREIGN OBJ LT BDY DUR DIALYS/PRFSN - E871.2,NULL,,0,NULL
E871.3,FOREIGN OBJ LT BDY DUR INJ/VACC - E871.3,NULL,,0,NULL
E871.4,FOREIGN OBJ LT BDY DURING ENDO EXAM - E871.4,NULL,,0,NULL
E871.5,FOREIGN OBJ LT BDY DUR ASPIR/CATH - E871.5,NULL,,0,NULL
E871.6,FOREIGN OBJ LT BODY DURING HRT CATH - E871.6,NULL,,0,NULL
E871.7,FOREIGN OBJ LT BDY DUR REMVOL CATH - E871.7,NULL,,0,NULL
E871.8,FOREIGN OBJ LT BDY DUR OTH PROC - E871.8,NULL,,0,NULL
E871.9,FOREIGN OBJ LT BDY DUR UNSPEC PROC - E871.9,NULL,,0,NULL
E872.0,FAIL STERL PRECAUTION DUR SURG OP - E872.0,NULL,,0,NULL
E872.1,FAIL STERL PRECAUTION DUR INFUSION - E872.1,NULL,,0,NULL
E872.2,FAIL STERL PRECAUTION DUR PERFUSN - E872.2,NULL,,0,NULL
E872.3,FAIL STERL PRECAUTION DUR INJ/VACC - E872.3,NULL,,0,NULL
E872.4,FAIL STERL PRECAUTION DUR ENDO EXAM - E872.4,NULL,,0,NULL
E872.5,FAIL STERL PRECAUTION DUR CATH - E872.5,NULL,,0,NULL
E872.6,FAIL STERL PRECAUTION DUR HRT CATH - E872.6,NULL,,0,NULL
E872.8,FAIL STERL PRECAUTION DUR OTH PROC - E872.8,NULL,,0,NULL
E872.9,FAIL STERL PRECAUTION DUR UNS PROC - E872.9,NULL,,0,NULL
E873.0,EXCESS BLOOD/FLUID DUR INFUSION - E873.0,NULL,,0,NULL
E873.1,INCORRECT DILUT FL DURING INFUSION - E873.1,NULL,,0,NULL
E873.2,OVERDOSE OF RADIATION IN THERAPY - E873.2,NULL,,0,NULL
E873.3,INADVERTENT EXPSPT RAD DUR MED CARE - E873.3,NULL,,0,NULL
E873.4,FAIL DOSAGE-SHOCK THERAPY - E873.4,NULL,,0,NULL
E873.5,INAPPROP TEMP LOCAL APPLIC&PACKING - E873.5,NULL,,0,NULL
E873.6,NONADMIN NECES RX/MEDICINAL SBSTNC - E873.6,NULL,,0,NULL
E873.8,OTHER SPECIFIED FAILURE IN DOSAGE - E873.8,NULL,,0,NULL
E873.9,UNSPECIFIED FAILURE IN DOSAGE - E873.9,NULL,,0,NULL
E874.0,MECH FAIL INSTRUM DUR SURGERY - E874.0,NULL,,0,NULL
E874.1,MECH FAIL INSTRUM DUR INFUSION - E874.1,NULL,,0,NULL
E874.2,MECH FAIL INSTRUM DUR DIALYSIS - E874.2,NULL,,0,NULL
E874.3,MECH FAIL INSTRUM DUR ENDO EXAM - E874.3,NULL,,0,NULL
E874.4,MECH FAIL INSTRUM DUR ASPIR CATH - E874.4,NULL,,0,NULL
E874.5,MECH FAIL INSTRUM DUR HEART CATH - E874.5,NULL,,0,NULL
E874.8,MECH FAIL INSTRUM DUR OTH PROC - E874.8,NULL,,0,NULL
E874.9,MECH FAIL INSTRUM DUR UNS PROC - E874.9,NULL,,0,NULL
E875.0,CONTAMIN SBSTNC TRANSFUSED/INFUSED - E875.0,NULL,,0,NULL
E875.1,CONTAMINAT SUBSTANCE INJ/USED VACC - E875.1,NULL,,0,NULL
E875.2,CONTAMINATED DRUG ADMIN OTH MEANS - E875.2,NULL,,0,NULL
E875.8,OTH CONTAMINATION PT DUR MED CARE - E875.8,NULL,,0,NULL
E875.9,UNS CONTAMINATION PT DUR MED CARE - E875.9,NULL,,0,NULL
E876.0,MISMATCHED BLOOD IN TRANSFUSION - E876.0,NULL,,0,NULL
E876.1,WRONG FLUID IN INFUSION - E876.1,NULL,,0,NULL
E876.2,FAIL SUT&LIG DURING SURG OPERATION - E876.2,NULL,,0,NULL
E876.3,ET WRONGLY PLCD DURING ANESPROC - E876.3,NULL,,0,NULL
E876.4,FAIL INTRODUCE/REMOVE TUBE - E876.4,NULL,,0,NULL
E876.5,PERF WRNG OP ON CORRCT PT - E876.5,NULL,,0,NULL
E876.6,PERFORM OP ON PT NOT SCHEDULE SURG - E876.6,NULL,,0,NULL
E876.7,PERFORM CORR OP WRONG SIDE/BDY PART - E876.7,NULL,,0,NULL
E876.8,OTH SPEC MISADVENTURE DUR MED CARE - E876.8,NULL,,0,NULL
E876.9,UNSPEC MISADVENTURE DUR MED CARE - E876.9,NULL,,0,NULL
E878.0,ABNORM REACT-ORG TRANSPLANT - E878.0,NULL,,0,NULL
E878.1,ABNORM REACT-ARTIF IMPLANT - E878.1,NULL,,0,NULL
E878.2,ABNORM REACT-ANASTOM/GRAFT - E878.2,NULL,,0,NULL
E878.3,ABNORM REACT-EXTERNAL STOMA - E878.3,NULL,,0,NULL
E878.4,ABNORM REACT-PLAST SURG - E878.4,NULL,,0,NULL
E878.5,ABNORM REACT-LIMB AMPUTAT - E878.5,NULL,,0,NULL
E878.6,ABNORM REAC-REMOVL OTH ORGAN - E878.6,NULL,,0,NULL
E878.8,ABNORM REACT-OTH SPEC SURG PROC - E878.8,NULL,,0,NULL
E878.9,ABNORM REACT-UNS SURG PROC - E878.9,NULL,,0,NULL
E879.0,ABNORM REACT-CARDIAC CATH - E879.0,NULL,,0,NULL
E879.1,ABNORM REACT-RENAL DIALYSIS - E879.1,NULL,,0,NULL
E879.2,ABNORM REACT-RADIOTHERAPY - E879.2,NULL,,0,NULL
E879.3,ABNORM REACT-SHOCK THERAPY - E879.3,NULL,,0,NULL
E879.4,ABNORM REACT-FLUID ASPIRAT - E879.4,NULL,,0,NULL
E879.5,ABNORM REACT-GASTRIC SOUND - E879.5,NULL,,0,NULL
E879.6,ABNORM REACT-URINARY CATH - E879.6,NULL,,0,NULL
E879.7,ABNORM REACT-BLOOD SAMPLING - E879.7,NULL,,0,NULL
E879.8,ABNORM REACT-OTH SPEC PROCEDURE - E879.8,NULL,,0,NULL
E879.9,ABNORM REACT-UNS PROCEDURE - E879.9,NULL,,0,NULL
E880.0,ACCIDENTAL FALL OR FROM ESCALATOR - E880.0,NULL,,0,NULL
E880.1,ACCIDENTAL FALL/FROM SIDEWALK CURB - E880.1,NULL,,0,NULL
E880.9,ACC FALL/FROM OTH STAIRS/STEPS - E880.9,NULL,,0,NULL
E881.0,ACCIDENTAL FALL FROM LADDER - E881.0,NULL,,0,NULL
E881.1,ACCIDENTAL FALL FROM SCAFFOLDING - E881.1,NULL,,0,NULL
E938.5,TOPIC/INFIL ANES ADVRSE EFF TX USE - E938.5,NULL,,0,NULL
E938.6,NERVE-BLOCK ANES ADVRSE EFF TX USE - E938.6,NULL,,0,NULL
E938.7,SP ANES CAUS ADVRS EFF TX USE - E938.7,NULL,,0,NULL
E938.9,UNS LOC ANES CAUS ADVRS EFF TX USE - E938.9,NULL,,0,NULL
E939.0,ANTIDEPTSSNT CAUS ADVRS EFF TX USE - E939.0,NULL,,0,NULL
E939.1,PHENOTHIAZ TRANQ ADVRSE EFF TX USE - E939.1,NULL,,0,NULL
E939.2,BUTYROPHEN TRANQ ADVRSE EFF TX USE - E939.2,NULL,,0,NULL
E939.3,OTH ANTIPSYCHOTC ADVRSE EFF TX USE - E939.3,NULL,,0,NULL
E939.4,BENZODIAZ TRANQ ADVRSE EFF TX USE - E939.4,NULL,,0,NULL
E939.5,OTH TRANQ CAUS ADVRS EFF TX USE - E939.5,NULL,,0,NULL
E939.6,HALLUCINOGENS ADVRSE EFF TX USE - E939.6,NULL,,0,NULL
E939.7,PSYCHOSTIMS CAUS ADVRS EFF TX USE - E939.7,NULL,,0,NULL
E939.8,OTH PSYCHOTROPIC ADVRSE EFF TX USE - E939.8,NULL,,0,NULL
E939.9,UNS PSYCHOTROPIC ADVRSE EFF TX USE - E939.9,NULL,,0,NULL
E940.0,ANALEPTICS CAUS ADVRS EFF TX USE - E940.0,NULL,,0,NULL
E940.1,OPIAT ANTAGONIST ADVRSE EFF TX USE - E940.1,NULL,,0,NULL
E940.8,OTH CNS STIMULNT ADVRSE EFF TX USE - E940.8,NULL,,0,NULL
